,12816,12707,9643,12698,12697,9644,12693,9645,9646,12689,12688,9647,12684,12683,9648,9649,9650,12674,9651,9652
erhp_cwcnorm,0.3152,-0.2513,0.1759,-0.1577,-0.2175,0.0637,-0.1489,-0.4513,-0.0699,-0.1764,-0.1229,0.0872,-0.0620,0.0004,0.2486,-0.2193,0.2560,0.0532,-0.3467,-0.1874
erv3_cwcnorm,-0.0001,-0.1351,-0.2504,-0.2431,-0.0420,-0.0499,-0.0292,-0.1005,0.0586,-0.0523,-0.1879,-0.1303,-0.1461,0.1585,-0.1580,0.0092,-0.2206,0.1990,0.0982,-0.2074
etop_risk_cwcnorm,0.3375,-0.2244,0.2372,-0.1124,-0.0780,-0.0192,-0.1935,-0.5185,-0.3071,-0.1716,-0.1443,-0.0948,-0.0245,0.0052,0.1598,-0.2370,0.2067,0.0799,-0.4787,-0.1270
flsn_cwcnorm,-0.2272,0.2094,0.2978,0.4590,0.4559,0.3629,0.5847,0.5710,0.1108,-0.0691,0.2028,0.1646,0.0953,0.1616,0.5788,-0.3021,0.3064,-0.0744,0.2125,0.0033
funq_cwcnorm,0.0936,-0.2568,0.2698,-0.3908,-0.4424,0.2381,-0.3879,-0.5587,-0.0775,-0.1698,-0.4699,-0.2406,-0.1288,-0.2847,0.1063,-0.1528,0.1167,0.3490,-0.4242,-0.0893
grex_cwcnorm,0.2314,0.0914,-0.5230,-0.2542,-0.1268,0.0566,-0.1355,-0.3375,0.0059,-0.2772,-0.1962,-0.0614,-0.1668,-0.1659,-0.0816,-0.4731,0.0196,0.1620,-0.5062,-0.0792
gro5_cwcnorm,0.2133,0.0764,-0.3038,-0.2466,-0.2409,0.1135,-0.2053,-0.3286,-0.0287,-0.2890,-0.1627,-0.0705,-0.2128,-0.0376,-0.1187,-0.5044,0.0172,0.3971,-0.4787,-0.0699
grot_cwcnorm,-0.0507,-0.3369,0.2225,-0.3572,-0.3735,0.2276,-0.1542,-0.4032,0.2574,-0.1441,-0.2908,-0.1695,-0.4371,0.0551,0.1572,-0.4809,0.2780,0.5307,-0.5824,-0.2843
hbet_cwcnorm,0.0630,0.2592,-0.0102,0.1866,-0.1017,0.1187,-0.2334,-0.3227,-0.5321,0.1041,0.3107,0.0847,0.3086,-0.2000,0.4751,0.3672,0.2270,-0.6432,-0.1952,0.0552
hsig_cwcnorm,0.2766,0.1750,0.0625,0.0717,0.1511,0.2788,0.3233,0.1426,0.5707,-0.1931,-0.0520,0.1974,0.1065,0.0923,0.1393,0.1863,0.3318,0.2614,0.2945,0.2424
ogro_cwcnorm,-0.4082,-0.1545,-0.4162,-0.1785,0.1263,0.1259,-0.3025,-0.3617,-0.1310,-0.2894,0.2694,0.1106,-0.0643,-0.3423,0.2132,-0.4465,0.0697,0.4570,-0.5763,-0.2060
optp_cwcnorm,0.1302,-0.2788,0.1654,0.2689,0.0933,0.1679,-0.0243,-0.4728,-0.2452,-0.1328,-0.0580,0.1098,0.1605,0.1154,0.2250,-0.0015,0.4161,0.1662,-0.3525,-0.1557
PAIM_cwcnorm,-0.0634,-0.2448,-0.1763,-0.4353,0.0849,-0.3575,-0.1424,-0.1206,-0.5138,-0.4684,-0.1223,0.0335,-0.1265,-0.2812,-0.3456,-0.1357,-0.4283,0.0699,0.1594,-0.2989
pncv_cwcnorm,-0.1362,-0.0444,0.4771,0.0350,0.5568,-0.0692,0.4789,0.4819,0.4648,0.2999,0.0656,-0.1496,-0.2059,0.4424,0.3543,-0.0975,-0.1164,-0.1803,0.3315,-0.0828
rasr_cwcnorm,0.4910,0.4707,0.3527,0.2794,-0.0485,0.4339,0.3002,0.2436,0.5016,-0.1863,0.2304,0.2243,0.2168,0.0670,0.5446,-0.0105,0.2905,-0.0261,0.4379,0.1734
rstr_cwcnorm,0.4183,0.3007,0.0272,-0.1300,0.5171,0.3439,0.5543,0.1733,0.3790,0.1108,0.3675,0.3870,0.0886,0.2414,0.2489,0.3920,0.4045,0.5219,-0.0749,-0.1028
size_cwcnorm,0.0899,-0.3919,-0.0782,-0.4819,-0.1793,-0.1069,-0.1428,-0.2730,-0.2874,-0.2631,-0.0878,0.1098,-0.3172,0.0389,0.2236,-0.0008,-0.0451,0.1940,-0.2931,-0.2698
stvi_cwcnorm,0.3370,0.3214,0.1285,0.2455,0.1985,0.2802,0.3483,0.2517,0.0664,-0.0994,0.2698,0.1984,0.1937,0.2174,0.3492,0.1502,0.2079,0.2040,0.2316,0.0713
industry_group,,,,,,,,,,,,,,,,,,,,
economic_sector_group,,,,,,,,,,,,,,,,,,,,
py_month_end,,,,,,,,,,,,,,,,,,,,
returns,0.2058,0.1725,0.2434,0.1395,0.4370,0.0976,0.3017,0.2655,-0.0262,-0.0336,0.3015,0.2459,0.2356,0.1193,0.1608,0.1713,0.2009,0.2336,0.0560,0.0946
